原维度,联合维度,原维度序号,联合维度序号,Tucker一致性,绝对Tucker一致性
词汇丰富度与词汇扩展,词汇丰富度与词汇扩展,1,2,0.9337581272572295,0.9337581272572295
基础词汇与叙事推进,词汇等级与词形复杂度,2,1,0.8052342112595267,0.8052342112595267
