篇名代码,作文文件名,纯文本字数,国籍,作文分数,词汇丰富度与词汇扩展,基础词汇与叙事推进,人称指涉与信息密度,句法延展与分句复杂度,动作过程与动词链,语言来源
J1,J1_55_01,304,韩国,55,0.44401674470373875,1.6572821022426476,1.792196033099311,-1.0735087803598475,-1.0611703451940617,学习者
J1,J1_60_01,254,日本,60,0.6781405005222687,0.5869377021976707,1.4316168181976492,-0.6369434661236087,-0.7942628598279234,学习者
J1,J1_60_02,268,马来西亚,60,0.577714178283285,0.06550851103623172,2.6344481246975424,1.0605195773591454,-1.1334754809643377,学习者
J1,J1_60_03,183,泰国,60,1.3162426678954398,1.2163511696485443,2.4508567127988177,1.814334621803376,-0.4371673023318851,学习者
J1,J1_60_04,434,韩国,60,0.03474242383369395,1.360947516347037,0.8281654973616662,-1.0061230210938068,-1.627056486346938,学习者
J1,J1_65_01,313,马来西亚,65,1.426194431845825,-0.11021003835730589,1.2650261368896973,-0.22521364551482198,-0.023524734283275357,学习者
J1,J1_65_02,344,韩国,65,-0.2188573153266733,0.16012192317950508,0.9687920612871087,-1.2644058745999065,-0.023249790966854436,学习者
J1,J1_65_03,242,新加坡,65,0.8060251162761728,0.2876467982562712,0.9266621545016731,-0.6656810761156646,0.559751340065767,学习者
J1,J1_65_04,372,韩国,65,-0.8326968675790214,0.0679654134839277,1.2525127145435193,-0.05775033956241414,-0.03705938676213104,学习者
J1,J1_65_05,208,缅甸,65,1.3675580092524164,1.4367140900155813,0.8119537785915195,-0.44557705105695916,2.1378338792474025,学习者
J1,J1_65_06,561,印度尼西亚,65,-0.7851490431017062,1.24442629505458,1.4053942624991944,-0.214182270085088,1.4022958050408671,学习者
J1,J1_65_07,322,印度尼西亚,65,-0.8547168237046687,0.8916224704747171,2.174754519219992,0.4411026382561574,0.29497375103120943,学习者
J1,J1_65_08,319,乌克兰,65,-0.39686756993455613,0.2692934933529835,2.01758807910073,0.40841958445760956,-0.1843703140899542,学习者
J1,J1_65_09,328,泰国,65,0.465921498908557,0.10575002125258048,2.76452528179672,0.042495976582379115,-0.4141122065764727,学习者
J1,J1_65_10,300,新加坡,65,2.7481491181667,-0.29643081044919334,-1.695921009631123,0.3294937880370768,-1.9157789045195899,学习者
J1,J1_65_11,486,新加坡,65,0.19719484164636863,-0.7738111714853998,0.44059999676160705,-0.08188236060863772,0.8229187785133484,学习者
J1,J1_65_12,507,波兰,65,-0.5223708561145637,-0.02034430013374605,0.8861403096283521,0.23921026569062007,-1.1292944200074173,学习者
J1,J1_65_13,365,新加坡,65,0.6581447869672449,-0.30692078795315775,-0.1322270020143789,2.9393013603334377,-0.4842345838367747,学习者
J1,J1_65_14,398,韩国,65,-0.9778613809137501,0.12203176521899271,1.992375229196037,-0.9076248411074619,-0.15501150363283192,学习者
