对应题目,维度,重抽样均值差,重抽样标准差,篇幅均值差,重抽样95%CI下限,重抽样95%CI上限
J1,人称指涉与信息密度,-0.19992451446041654,0.027391746230589212,40.21577777777777,-0.2517620752423568,-0.14267946107460416
J1,动作过程与动词链,-0.3217685854582569,0.04199475463638326,40.21577777777777,-0.4050798190174349,-0.2453908366403269
J1,句法延展与分句复杂度,0.8490632999411576,0.062174274992413646,40.21577777777777,0.7297283181154228,0.964883335415278
J1,基础词汇与叙事推进,-0.04007441769260402,0.028608511572545875,40.21577777777777,-0.09727118018133817,0.012713417533738688
J1,词汇丰富度与词汇扩展,-0.21344877550250416,0.043038800455662406,40.21577777777777,-0.2957824126695836,-0.13644524891461784
J2,人称指涉与信息密度,0.02270061733000986,0.027670069939597076,118.75533333333335,-0.021684784117709355,0.06642773329650145
J2,动作过程与动词链,0.7360173501688123,0.02702051087615529,118.75533333333335,0.7038285807862508,0.7689761678046537
J2,句法延展与分句复杂度,1.692796840909084,0.024681638111366023,118.75533333333335,1.6539795010506226,1.7308980582506683
J2,基础词汇与叙事推进,-0.8346176257355911,0.026626897103321733,118.75533333333335,-0.8728326019283784,-0.7961039240365112
J2,词汇丰富度与词汇扩展,0.12129262614269694,0.03707281247262967,118.75533333333335,0.060000951640226896,0.18230757111824905
Y1,人称指涉与信息密度,0.1802295542852049,1.110361932730126e-16,192.33333333333331,0.18022955428520482,0.18022955428520504
Y1,动作过程与动词链,-0.4606027886519351,5.620144324754618e-17,192.33333333333331,-0.46060278865193516,-0.46060278865193505
Y1,句法延展与分句复杂度,1.15850443486947,1.049083153097932e-16,192.33333333333331,1.15850443486947,1.1585044348694702
Y1,基础词汇与叙事推进,-0.49868983980234893,7.033956399878336e-17,192.33333333333331,-0.49868983980234916,-0.4986898398023488
Y1,词汇丰富度与词汇扩展,0.6884880188062397,2.6751089999712437e-17,192.33333333333331,0.6884880188062396,0.6884880188062397
Y2,人称指涉与信息密度,-0.37827740718584985,0.028581210484706812,78.82262222222222,-0.4317025614124004,-0.32376693279541796
Y2,动作过程与动词链,0.6373136958099819,0.04117831465783509,78.82262222222222,0.5576039075064062,0.7057047028787448
Y2,句法延展与分句复杂度,1.2906159089782627,0.046883644804603435,78.82262222222222,1.1980096343658109,1.3781401424072368
Y2,基础词汇与叙事推进,-0.8022566475523927,0.026874841031566944,78.82262222222222,-0.8505022212288638,-0.749202542137148
Y2,词汇丰富度与词汇扩展,1.145314808333619,0.027032251141679873,78.82262222222222,1.0945568888694062,1.1959795780692588
