维度,项,系数,HC3标准误,t值,p值,95%CI下限,95%CI上限,样本量,调整R平方,BH校正p值
词汇丰富度与词汇扩展,Intercept,5.953725197382708,0.8130854142093099,7.322385930600472,2.4360036462729957e-13,4.360107069177628,7.5473433255877875,800,0.24126074294667477,1.37025205102856e-12
词汇丰富度与词汇扩展,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]",0.2122780703963156,0.16893930464436388,1.2565345337675249,0.2089222334210893,-0.1188368822798779,0.5433930230725091,800,0.24126074294667477,0.26861430011282905
词汇丰富度与词汇扩展,"C(对应题目, Treatment(reference='J1'))[T.J2]",-0.01571645941390892,0.1020129483478167,-0.15406337791868444,0.8775597636633801,-0.21565816413237446,0.1842252453045566,800,0.24126074294667477,0.9183764968570256
词汇丰富度与词汇扩展,"C(对应题目, Treatment(reference='J1'))[T.Y1]",-0.48973485033395825,0.09966657426978934,-4.913732150643462,8.935881006983634e-07,-0.6850777463652318,-0.2943919543026847,800,0.24126074294667477,3.655587684675123e-06
词汇丰富度与词汇扩展,"C(对应题目, Treatment(reference='J1'))[T.Y2]",-1.1874352566652797,0.10024211954768934,-11.845671879477443,2.2659499509917923e-32,-1.3839062007127094,-0.99096431261785,800,0.24126074294667477,2.5491936948657663e-31
词汇丰富度与词汇扩展,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.J2]",0.16921860946469125,0.21442229890343614,0.7891838224386256,0.4300045758412425,-0.2510413738683259,0.5894785927977084,800,0.24126074294667477,0.4961591259706644
词汇丰富度与词汇扩展,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y1]",0.7786365084358156,0.23304202512091968,3.341184955940031,0.0008342163061769773,0.32188253231453445,1.2353904845570967,800,0.24126074294667477,0.0018769866888981989
词汇丰富度与词汇扩展,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y2]",1.0061698562598256,0.23106878458870353,4.354417053998799,1.3342148629912711e-05,0.5532833605145228,1.4590563520051285,800,0.24126074294667477,4.0026445889738136e-05
词汇丰富度与词汇扩展,log纯文本字数,-0.9357719293407329,0.13574076552362607,-6.893816501851532,5.4315078668219994e-12,-1.2018189410009363,-0.6697249176805296,800,0.24126074294667477,2.7157539334109996e-11
基础词汇与叙事推进,Intercept,1.655908806101744,0.7318586638074371,2.2626073694161226,0.02365990344733755,0.22149218326555964,3.0903254289379283,800,0.5210350538994979,0.039433172412229246
基础词汇与叙事推进,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]",-0.13097012658399096,0.12641926991015204,-1.0359981249462467,0.30020301728063314,-0.3787473425597371,0.11680708939175519,800,0.5210350538994979,0.36511177777374304
基础词汇与叙事推进,"C(对应题目, Treatment(reference='J1'))[T.J2]",0.7931798900049998,0.08173153788563882,9.704697972462485,2.8792778053800223e-22,0.6329890193480767,0.9533707606619228,800,0.5210350538994979,2.1594583540350167e-21
基础词汇与叙事推进,"C(对应题目, Treatment(reference='J1'))[T.Y1]",-1.111844120610836,0.08434754651974376,-13.181700790201168,1.1184068736347888e-39,-1.2771622739738506,-0.9465259672478215,800,0.5210350538994979,1.6776103104521833e-38
基础词汇与叙事推进,"C(对应题目, Treatment(reference='J1'))[T.Y2]",-0.5371070664070267,0.08262342649800679,-6.500663179588465,7.996669467481167e-11,-0.6990460066224123,-0.37516812619164097,800,0.5210350538994979,3.598501260366525e-10
基础词汇与叙事推进,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.J2]",-0.7601163507946271,0.1727126823296805,-4.401045369347505,1.0773059382391836e-05,-1.0986269878341084,-0.42160571375514594,800,0.5210350538994979,3.462769087197376e-05
基础词汇与叙事推进,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y1]",-0.26151675403737434,0.16112601288385295,-1.6230573161758037,0.1045771529739473,-0.5773179362622629,0.05428442818751417,800,0.5210350538994979,0.1470616213696134
基础词汇与叙事推进,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y2]",-0.5172615130221528,0.16493559625090135,-3.136142377872697,0.001711860747981135,-0.840529341442559,-0.19399368460174665,800,0.5210350538994979,0.003501533348143231
基础词汇与叙事推进,log纯文本字数,-0.24398344115845,0.1219248513786168,-2.0010968920585444,0.04538194922117259,-0.4829517586809377,-0.005015123635962293,800,0.5210350538994979,0.06807292383175889
人称指涉与信息密度,Intercept,1.2230941414665617,0.6404085714009838,1.9098653517251827,0.05615055223186983,-0.03208359387011428,2.4782718768032375,800,0.5557513740877966,0.08150886614303685
人称指涉与信息密度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]",-0.4227129610359628,0.11650492963592653,-3.6282839048693023,0.0002853114170254612,-0.651058427143752,-0.1943674949281736,800,0.5557513740877966,0.0006757375666392502
人称指涉与信息密度,"C(对应题目, Treatment(reference='J1'))[T.J2]",-0.850420647833283,0.08275829683130899,-10.275956374099197,9.044290761324205e-25,-1.0126239290445238,-0.6882173666220421,800,0.5557513740877966,8.139861685191785e-24
人称指涉与信息密度,"C(对应题目, Treatment(reference='J1'))[T.Y1]",-2.130218719843109,0.07193590785896271,-29.61273143336994,1.0245705149561633e-192,-2.2712105084418677,-1.98922693124435,800,0.5557513740877966,4.610567317302735e-191
人称指涉与信息密度,"C(对应题目, Treatment(reference='J1'))[T.Y2]",-1.0930914284787725,0.08075560412990176,-13.535796558718681,9.613468639322288e-42,-1.251369504123154,-0.9348133528343909,800,0.5557513740877966,2.1630304438475147e-40
人称指涉与信息密度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.J2]",0.46792988731414914,0.16022355236293784,2.920481292626667,0.003494911791420264,0.1538974952077235,0.7819622794205747,800,0.5557513740877966,0.006552959608912994
人称指涉与信息密度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y1]",0.6865025066940744,0.15204425724169032,4.515149201609151,6.32722030766533e-06,0.3885012384442181,0.9845037749439307,800,0.5557513740877966,2.1901916449610762e-05
人称指涉与信息密度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]:C(对应题目, Treatment(reference='J1'))[T.Y2]",0.12632485806848587,0.15272631060985387,0.8271322574614424,0.4081621025824532,-0.17301321021850524,0.425662926355477,800,0.5557513740877966,0.4833498583213262
人称指涉与信息密度,log纯文本字数,-0.03462911304742876,0.1061335696078571,-0.32627860511407086,0.7442135739264784,-0.24264708702950355,0.173388860934646,800,0.5557513740877966,0.816819776260769
句法延展与分句复杂度,Intercept,-3.0994605003567086,1.070181222424772,-2.896201536160465,0.0037770974332355265,-5.196977153240311,-1.0019438474731066,800,0.2258713898106246,0.006798775379823947
句法延展与分句复杂度,"C(语言来源, Treatment(reference='学习者'))[T.公开网络母语参照]",1.0895176037064964,0.27730454963834245,3.92895682788989,8.531515286668679e-05,0.5460106736662456,1.6330245337467473,800,0.2258713898106246,0.00022583422817652385
句法延展与分句复杂度,"C(对应题目, Treatment(reference='J1'))[T.J2]",-0.34113622820967343,0.10774366243610951,-3.166183703955325,0.0015445321730103436,-0.5523099261468891,-0.1299625302724577,800,0.2258713898106246,0.0033097117993078793
句法延展与分句复杂度,"C(对应题目, Treatment(reference='J1'))[T.Y1]",-0.006300481052092001,0.12173231668043838,-0.05175684833659663,0.9587224394763681,-0.24489143750037567,0.2322904753961917,800,0.2258713898106246,0.9805115858281038
