序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
122,1,1,,初等,没有,méiyǒu,动、副,83
123,1,1,,初等,妹妹,mèimei,名,83
124,1,1,,初等,们,men,后缀,83
125,1,1,,初等,米饭,mǐfàn,名,83
126,1,1,,初等,面包,miànbāo,名,83
127,1,1,,初等,面条儿,miàntiáor,名,83
128,1,1,,初等,明年,míngnián,名,83
129,1,1,,初等,明天,míngtiān,名,83
130,1,1,,初等,名字,míngzi,名,83
131,1,1,,初等,哪,nǎ,代,83
132,1,1,,初等,哪个,nǎge,代,83
133,1,1,,初等,哪里,nǎlǐ,代,83
134,1,1,,初等,哪儿,nǎr,代,83
135,1,1,,初等,哪些,nǎxiē,代,83
136,1（2）,1,2,初等,那,nà,代、（连）,83
137,1,1,,初等,那边,nàbiān,代,83
138,1,1,,初等,那个,nàge,代,83
139,1,1,,初等,那里,nàlǐ,代,83
140,1,1,,初等,那儿,nàr,代,83
141,1,1,,初等,那些,nàxiē,代,83
142,1,1,,初等,男,nán,形,83
143,1,1,,初等,男朋友,nánpéngyou,名,83
144,1,1,,初等,呢,ne,助,83
145,1,1,,初等,能,néng,动,83
146,1,1,,初等,你,nǐ,代,83
147,1,1,,初等,你好,nǐ hǎo,,83
148,1,1,,初等,你们,nǐmen,代,83
149,1,1,,初等,年,nián,名、量,83
150,1,1,,初等,您,nín,代,83
151,1,1,,初等,牛奶,niúnǎi,名,83
152,1,1,,初等,女,nǚ,形,83
153,1,1,,初等,女儿,nǚ’ér,名,83
154,1,1,,初等,女朋友,nǚpéngyou,名,83
155,1,1,,初等,女士,nǚshì,名,83
156,1,1,,初等,朋友,péngyou,名,83
157,1,1,,初等,便宜,piányi,形,83
158,1,1,,初等,漂亮,piàoliang,形,83
159,1,1,,初等,苹果,píngguǒ,名,83
160,1,1,,初等,七,qī,数,83
161,1,1,,初等,起床,qǐchuáng,动,84
162,1,1,,初等,千,qiān,数,84
163,1,1,,初等,前,qián,名,84
164,1,1,,初等,钱,qián,名,84
165,1,1,,初等,请,qǐng,动,84
166,1,1,,初等,请问,qǐngwèn,动,84
167,1,1,,初等,去,qù,动,84
168,1,1,,初等,去年,qùnián,名,84
169,1,1,,初等,热,rè,形,84
170,1,1,,初等,人,rén,名,84
171,1,1,,初等,认识,rènshi,动,84
172,1（4）,1,4,初等,日,rì,量、（名）,84
173,1,1,,初等,三,sān,数,84
174,1,1,,初等,商店,shāngdiàn,名,84
175,1,1,,初等,上,shàng,名、动,84
176,1,1,,初等,上班,shàngbān,动,84
177,1,1,,初等,上课,shàngkè,动,84
178,1,1,,初等,上午,shàngwǔ,名,84
179,1,1,,初等,上学,shàngxué,动,84
180,1,1,,初等,少,shǎo,形、动,84
181,1,1,,初等,谁,shéi/shuí,代,84
182,1,1,,初等,什么,shénme,代,84
183,1,1,,初等,生病,shēngbìng,动,84
184,1,1,,初等,十,shí,数,84
185,1,1,,初等,时候,shíhou,名,84
186,1,1,,初等,时间,shíjiān,名,84
187,1,1,,初等,事,shì,名,84
188,1,1,,初等,是,shì,动,84
189,1,1,,初等,手机,shǒujī,名,84
190,1,1,,初等,书,shū,名,84
191,1,1,,初等,书店,shūdiàn,名,84
192,1,1,,初等,水,shuǐ,名,84
193,1,1,,初等,水果,shuǐguǒ,名,84
194,1,1,,初等,睡,shuì,动,84
195,1,1,,初等,睡觉,shuìjiào,动,84
196,1,1,,初等,说,shuō,动,84
197,1,1,,初等,说话,shuōhuà,动,84
198,1,1,,初等,四,sì,数,84
199,1,1,,初等,岁,suì,量,84
200,1,1,,初等,他,tā,代,84
201,1,1,,初等,它,tā,代,85
202,1,1,,初等,她,tā,代,85
203,1,1,,初等,他们,tāmen,代,85
204,1,1,,初等,它们,tāmen,代,85
205,1,1,,初等,她们,tāmen,代,85
206,1,1,,初等,太,tài,副,85
207,1,1,,初等,天,tiān,名、量,85
208,1,1,,初等,天气,tiānqì,名,85
209,1,1,,初等,听,tīng,动,85
210,1,1,,初等,听见,tīngjiàn,动,85
211,1,1,,初等,同学,tóngxué,名,85
212,1,1,,初等,外,wài,名,85
213,1,1,,初等,外边,wàibian,名,85
214,1,1,,初等,玩,wán,动,85
215,1,1,,初等,晚,wǎn,形,85
216,1,1,,初等,晚饭,wǎnfàn,名,85
217,1,1,,初等,晚上,wǎnshang,名,85
218,1,1,,初等,喂1,wèi,叹,85
219,1,1,,初等,问,wèn,动,85
220,1,1,,初等,问题,wèntí,名,85
221,1,1,,初等,我,wǒ,代,85
222,1,1,,初等,我们,wǒmen,代,85
223,1,1,,初等,五,wǔ,数,85
224,1,1,,初等,午饭,wǔfàn,名,85
225,1,1,,初等,喜欢,xǐhuan,动,85
226,1,1,,初等,下,xià,名、动、量,85
227,1,1,,初等,下雨,xià yǔ,,85
228,1,1,,初等,下班,xiàbān,动,85
229,1,1,,初等,下课,xiàkè,动,85
230,1,1,,初等,下午,xiàwǔ,名,85
231,1,1,,初等,先生,xiānsheng,名,85
232,1,1,,初等,现在,xiànzài,名,85
233,1,1,,初等,想,xiǎng,动,85
234,1,1,,初等,小,xiǎo,形、前缀,85
235,1,1,,初等,小朋友,xiǎopéngyǒu,名,85
236,1,1,,初等,小时,xiǎoshí,名,85
237,1,1,,初等,小学,xiǎoxué,名,85
238,1,1,,初等,小学生,xiǎoxuéshēng,名,85
239,1,1,,初等,些,xiē,量,85
240,1,1,,初等,写,xiě,动,85
241,1,1,,初等,谢谢,xièxie,动,86
242,1,1,,初等,新,xīn,形,86
243,1,1,,初等,星期,xīngqī,名,86
244,1,1,,初等,星期日,xīngqīrì,名,86
245,1,1,,初等,星期天,xīngqītiān,名,86
246,1,1,,初等,休息,xiūxi,动,86
247,1,1,,初等,学,xué,动,86
248,1,1,,初等,学生,xuéshēng,名,86
249,1,1,,初等,学习,xuéxí,动,86
250,1,1,,初等,学校,xuéxiào,名,86
