维度名称,Welch_F,分子自由度,分母自由度,p值,Omega平方,BH校正p值
词汇丰富度与词汇扩展,62.60354706730387,3.0,341.833209730518,2.778376127001643e-32,0.2305224232179315,4.6306268783360713e-32
基础词汇与叙事推进,200.0468375985695,3.0,342.1405859993855,6.396507267649495e-75,0.4857955112996834,1.5991268169123736e-74
人称指涉与信息密度,348.9997494245949,3.0,335.2894685579902,9.4234552505675e-103,0.5738063983994506,4.7117276252837495e-102
句法延展与分句复杂度,5.448671974884691,3.0,340.1796663092544,0.001140004649446051,0.02044693505991589,0.001140004649446051
动作过程与动词链,52.251222980883135,3.0,340.6880494628499,8.298215754915261e-28,0.21608015905423586,1.0372769693644076e-27
