维度名称,词汇丰富度与词汇扩展,基础词汇与叙事推进,人称指涉与信息密度,句法延展与分句复杂度,动作过程与动词链
词汇丰富度与词汇扩展,1.0,0.08777298746667131,-0.19946632781183485,-0.13621677083260303,0.29179710275769044
基础词汇与叙事推进,0.08777298746667131,1.0000000000000002,0.23918662964458992,-0.05580661864254502,-0.04708079947015116
人称指涉与信息密度,-0.19946632781183485,0.23918662964458992,1.0000000000000002,0.10898076955225479,-0.009847006959526675
句法延展与分句复杂度,-0.13621677083260303,-0.05580661864254502,0.10898076955225479,1.0000000000000002,-0.08039266766376363
动作过程与动词链,0.29179710275769044,-0.04708079947015116,-0.009847006959526675,-0.08039266766376363,1.0
