维度名称,Spearman_rho,p值,BH校正p值
词汇丰富度与词汇扩展,0.036914471839449264,0.3588174058241592,0.5980290097069321
基础词汇与叙事推进,-0.079727090018452,0.04721772346279596,0.1180443086569899
人称指涉与信息密度,-0.0136948532266847,0.733610347652938,0.8031526930157392
句法延展与分句复杂度,0.11015999341403065,0.006036586734459998,0.03018293367229999
动作过程与动词链,0.010030875240714294,0.8031526930157392,0.8031526930157392
