因子数,最终变量数,删除低共同度变量数,KMO,最小MSA,Bartlett卡方,Bartlett自由度,Bartlett_p值,样本变量比,累计解释方差,每因子主要指标数,交叉载荷变量数,Heywood异常,统计诊断通过,Bootstrap成功次数,最小稳定性中位数,稳定性通过,是否选定,诊断说明
2,24,69,0.7330255143006502,0.536402157439464,31121.451804898705,276,0.0,25.833333333333332,0.5252029410959744,13/11,2,False,True,200,0.9985294660873161,True,False,通过统计诊断
3,32,61,0.7301040968826019,0.4441229680032378,39605.05509797447,496,0.0,19.375,0.5187218840794365,15/13/4,10,False,True,200,0.987902384129014,True,False,通过统计诊断
4,35,58,0.7427526408176902,0.46675737848370724,41132.77808446614,595,0.0,17.714285714285715,0.5515911863406611,11/13/7/4,14,False,True,200,0.9921793344023857,True,False,通过统计诊断
5,39,54,0.7522068351254863,0.4591800968007903,42313.47642369922,741,0.0,15.897435897435898,0.573389404869613,11/13/7/5/3,13,False,True,200,0.9917457431502061,True,True,通过统计诊断
6,48,45,0.7212478945205658,0.4289250636720785,51003.044608236385,1128,0.0,12.916666666666666,0.5542083802740662,14/15/7/5/3/4,17,True,False,0,0.0,False,False,出现Heywood异常
7,48,45,0.7529981348112218,0.48078760522572483,51301.32342114338,1128,0.0,12.916666666666666,0.5918657618649286,11/14/6/5/3/5/4,20,True,False,0,0.0,False,False,出现Heywood异常
8,47,46,0.7423546799943543,0.480021820068658,49364.40163386787,1081,0.0,13.191489361702128,0.6380804758764814,12/14/5/5/3/3/2/3,19,True,False,0,0.0,False,False,存在少于3个主要载荷的因子；出现Heywood异常
9,48,45,0.7518868806996616,0.482593158347399,51234.138428540784,1128,0.0,12.916666666666666,0.6674617111870806,13/14/5/4/3/2/2/2/3,21,True,False,0,0.0,False,False,存在少于3个主要载荷的因子；出现Heywood异常
10,50,43,0.7437858497667533,0.47821514322113795,52809.08589167325,1225,0.0,12.4,0.6553440852798312,7/10/8/6/3/4/5/4/2/1,23,True,False,0,0.0,False,False,存在少于3个主要载荷的因子；出现Heywood异常
