篇名代码,篇名,体裁,样本量,平均分,分数标准差,平均纯文本字数,纯文本字数中位数,国籍数
J1,记对我影响最大的一个人,记叙文,155,75.64516129032258,8.840389848226259,390.5032258064516,391.0,18
J2,我的一个假期,记叙文,155,75.64516129032258,8.840389848226259,376.6516129032258,382.0,14
Y1,吸烟对个人健康和公众利益的影响,议论文,155,75.64516129032258,8.840389848226259,357.6645161290323,358.0,29
Y2,父母是孩子的第一任老师,议论文,155,75.64516129032258,8.840389848226259,382.28387096774196,372.0,28
