维度名称,组1,组2,均值差_组1减组2,Welch_t,自由度,p值,Hedges_g,Holm校正p值
词汇丰富度与词汇扩展,J1,J2,-0.016916132692026076,-0.1631586878789238,306.50794788495676,0.8705010144226676,-0.018488414392074593,0.8705010144226676
词汇丰富度与词汇扩展,J1,Y1,0.41580908019491364,4.143437284706764,301.9255325925493,4.447384261985512e-05,0.4695158224371,8.894768523971024e-05
词汇丰富度与词汇扩展,J1,Y2,1.1763493042734263,11.46405191773904,305.407482670688,1.5180067906501913e-25,1.2990552033900975,7.590033953250957e-25
词汇丰富度与词汇扩展,J2,Y1,0.4327252128869397,4.482124928005693,306.37662002120874,1.0453614256998711e-05,0.507894394734963,3.1360842770996136e-05
词汇丰富度与词汇扩展,J2,Y2,1.1932654369654525,12.066590428186908,307.84403574951756,1.0284978419998538e-27,1.3673321784820416,6.1709870519991234e-27
词汇丰富度与词汇扩展,Y1,Y2,0.7605402240785126,7.972297357970428,307.22067031679165,3.0895461700972236e-14,0.9033851591180798,1.2358184680388894e-13
基础词汇与叙事推进,J1,J2,-0.8016881727032577,-9.802744162089528,306.86653223037246,6.484863878088757e-20,-1.1108032223370972,1.9454591634266272e-19
基础词汇与叙事推进,J1,Y1,1.0925694841067033,13.144060666998863,307.7783836193432,1.259642567058303e-31,1.4894262975832306,5.038570268233212e-31
基础词汇与叙事推进,J1,Y2,0.5342166304703669,6.4991522040283565,307.22980849555984,3.2586060367875103e-10,0.7364549243887542,3.2586060367875103e-10
基础词汇与叙事推进,J2,Y1,1.894257656809961,23.490147231032694,307.64441863438384,1.3284631387187949e-70,2.661798656167525,7.970778832312769e-70
基础词汇与叙事推进,J2,Y2,1.3359048031736247,16.764413805799133,307.9644803331763,2.829371177486432e-45,1.8996685589420486,1.414685588743216e-44
基础词汇与叙事推进,Y1,Y2,-0.5583528536363362,-6.887951168204198,307.8333629044213,3.194366832533515e-11,-0.7805118879396412,6.38873366506703e-11
人称指涉与信息密度,J1,J2,0.8492130483257163,10.35055350617114,306.98008069186704,9.828471148297995e-22,1.172878532532943,1.965694229659599e-21
人称指涉与信息密度,J1,Y1,2.127483027767939,30.283244622765235,257.56616093636995,7.571759082879754e-87,3.4315621374555842,4.5430554497278526e-86
人称指涉与信息密度,J1,Y2,1.0926811824705533,13.615076271986577,304.6195254623445,2.6747246453737714e-33,1.5427996839677103,8.024173936121314e-33
人称指涉与信息密度,J2,Y1,1.2782699794422223,18.955636444826297,266.4418435454533,2.565410376309573e-51,2.147968129760445,1.2827051881547865e-50
人称指涉与信息密度,J2,Y2,0.24346813414483698,3.1293946526025413,307.29214758535534,0.001919811169268957,0.3546090366735041,0.001919811169268957
人称指涉与信息密度,Y1,Y2,-1.0348018452973853,-15.86017942733393,273.7620926174893,1.2537763573030786e-40,-1.7972047544462038,5.015105429212314e-40
句法延展与分句复杂度,J1,J2,0.36039567937880257,3.313887786951689,288.97802567062433,0.001037314246772356,0.37551497533164613,0.006223885480634135
句法延展与分句复杂度,J1,Y1,0.04993078034033718,0.4073482573781552,307.9637603961887,0.6840352234530873,0.0461588866777694,1.0
句法延展与分句复杂度,J1,Y2,0.31747035527208356,2.7540883005543026,303.7382648143926,0.006240380721222306,0.3120809957162563,0.024961522884889224
句法延展与分句复杂度,J2,Y1,-0.3104648990384654,-2.8352984037958495,287.55147189190086,0.004903048531699497,-0.3212833622041939,0.024515242658497485
句法延展与分句复杂度,J2,Y2,-0.04292532410671904,-0.4239182590750753,301.8751777582935,0.671927336824298,-0.04803652532412436,1.0
句法延展与分句复杂度,Y1,Y2,0.26753957493174635,2.3068291498102065,302.9481476441432,0.021738719395408113,0.26139958471017793,0.06521615818622434
动作过程与动词链,J1,J2,0.4704730205915317,4.987666712728621,303.2010399339487,1.0307921676261253e-06,0.5651801337291524,2.0615843352522506e-06
动作过程与动词链,J1,Y1,-0.834174818288753,-7.63164787329251,300.16326922280405,3.101195297641081e-13,-0.8647842797101402,1.5505976488205403e-12
动作过程与动词链,J1,Y2,-0.03114596756849533,-0.32133141408924853,306.6558040871372,0.7481781515915096,-0.03641184185841179,0.7481781515915096
动作过程与动词链,J2,Y1,-1.3046478388802845,-12.537668589445083,285.3611868416354,5.070444557299241e-29,-1.4207126534639238,3.0422667343795442e-28
动作过程与动词链,J2,Y2,-0.501618988160027,-5.514088995835348,306.8914560432251,7.447067493413553e-08,-0.6248319576180622,2.234120248024066e-07
动作过程与动词链,Y1,Y2,0.8030288507202575,7.545752516688476,293.11150911616846,5.703255772593388e-13,0.855051001219761,2.281302309037355e-12
